Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast, ClearedQuantity, ClearedQuantity24h,Imbalance,Imbalance24h
384,2,187,44166.26840062304,11369.099999999999,29572.42804374819,11393.300000000003,10.7,5.43,293.0,0.924,420.3884332676324,497.6937816604286,5043.338905510169,-6059.890723771292
385,2,187,40979.74425616306,11724.730000000003,31415.92395570099,7026.52,10.1,4.43,213.0,0.924,514.4152228323862,565.8237760414556,6542.635693594239,-4558.782888176025
386,2,187,42125.296814441914,11538.450000000004,44232.12662593475,6959.450000000001,9.5,4.43,183.0,0.799,494.0136819839489,606.4226986893079,2849.8440449874033,-8431.87655708602
387,2,187,50821.57835156718,11333.210000000006,52095.816654143026,7003.600000000001,5.7,4.43,183.0,0.049,488.1055665611922,558.4563046177956,4453.012263557161,-12093.707601248621
388,2,187,53731.73706375986,7053.049999999999,51426.22922157891,5124.83,8.1,5.43,183.0,0.924,566.942294260972,579.0289467091685,2435.1585426101374,-5032.633456971882
389,2,187,59711.89387946878,7390.520000000004,54472.42227492976,7289.860000000001,8.6,4.43,173.0,0.924,667.2061661092196,554.0264805491834,1932.4137620678957,1940.178410934146
390,2,187,50087.175165226814,7266.950000000001,44582.36850282976,8287.16,9.5,4.43,143.0,0.924,602.2166655362511,746.2509163512211,994.4219291857398,-8455.12083479631
391,2,187,64360.145842255515,12665.079200000002,54303.26308222272,21537.79,10.9,5.43,153.0,0.924,543.8922003039711,658.4742277501225,-5219.203711590513,-30702.967258155753
392,2,187,66840.37352499586,12599.259999999998,51705.99985369104,38458.729999999996,11.9,5.43,133.0,0.299,967.4460620484087,1192.6359023355888,210.99304793771853,-30271.357704159265
393,2,187,58740.50665014115,13637.34731111111,48268.17210698001,30783.49,13.4,6.43,143.0,0.0,693.5642872116226,894.3060402129645,-8215.353805532519,-6540.580794406436
394,2,187,58944.14837461065,17286.51799444342,49000.618336950625,27853.929200000002,14.0,7.43,163.0,0.799,842.7490285154892,1178.1450797420557,-3309.417994443424,-13467.09664381345
395,2,187,56268.19522056058,12053.093497387355,47090.43018728922,16993.43,14.5,7.43,163.0,0.924,842.6746577753976,959.6194451149156,-1924.2734973873557,-23593.11123577665
396,2,187,56700.63407388395,9385.572,48036.84939676157,14662.82,14.3,7.43,173.0,0.924,640.2854021504189,1223.3339273443223,-3927.8414448568938,-39532.67368022614
397,2,187,58963.56254783283,14473.294488314448,44528.58699579549,25132.22,13.9,8.43,173.0,0.924,849.8892366928549,859.5034889026052,-6976.322189451899,-13647.507688389516
398,2,187,65876.50793838088,14920.699235877455,46795.473404595905,37311.64,13.7,7.43,173.0,0.924,711.8261505445674,940.775159095724,-18225.733028922423,-23369.65228968506
399,2,187,68596.13675873456,6910.398717725973,50822.920125741475,31556.539999999997,13.4,6.43,173.0,0.924,648.5039059340497,963.9714501390343,-19302.35555585499,-29785.24439715818
400,2,187,58944.75361748406,7457.0461973945685,46254.99850166515,24750.550000000003,13.0,6.43,163.0,0.924,651.5910993711651,877.3192455266883,-6593.550963268672,-15485.645198771497
401,2,187,63976.95785986214,3877.718198757764,53476.50298377881,12686.910000000005,12.7,5.43,153.0,0.924,614.5829138712512,1180.1519446049647,6382.484498198148,-3924.1085136015267
402,2,187,63653.48790845354,3659.42,55234.74905717406,11219.800000000003,12.3,4.43,133.0,0.924,720.1620195399141,1019.3791586048451,4990.346789496703,-10825.11712803632
403,2,187,55229.539019183234,5591.982712100708,55252.09813913218,11352.18,10.7,6.43,133.0,0.174,1103.3591253244824,1017.9897950788602,-824.0927121006753,965.0429845686886
404,2,187,56146.14138745497,7035.350000000001,52485.82324309889,11312.3,11.0,6.43,133.0,0.674,733.0177276283465,1055.6195927004865,2783.2233580972243,-463.2356785355587
405,2,187,47163.22735079112,5329.197029702972,48677.297580979946,11574.090000000004,11.6,6.43,133.0,0.924,658.9855715781949,1009.1041284205359,703.3074361808758,2189.1442676315855
406,2,187,43195.42245006499,102.34601617069453,44442.43708004287,11388.315799999997,11.2,6.43,153.0,0.799,657.9505496477532,758.604769071925,-5130.8870752867515,-1994.169446102209
407,2,187,38596.20590787104,67.68891008636103,36344.75634207701,11486.36,11.3,7.43,143.0,0.924,606.4452476322504,869.2909355949547,-4146.098263200227,626.2129800608272
408,2,187,40053.78530275694,75.33922852514705,44166.26840062304,11369.099999999999,14.3,4.13,157.0,0.911,497.6937816604286,840.6723703044818,-6059.890723771292,-418.70811236761074
409,2,187,36106.412076485896,328.45708049006595,40979.74425616306,11724.730000000003,13.9,3.13,157.0,0.911,565.8237760414556,825.9950178270477,-4558.782888176025,-5465.415078458354
410,2,187,38916.01845903676,6.097199999999999,42125.296814441914,11538.450000000004,13.4,4.13,147.0,0.911,606.4226986893079,828.982222653978,-8431.87655708602,-359.8002922109845
411,2,187,49562.10367790228,4.6488000000000005,50821.57835156718,11333.210000000006,13.6,4.13,157.0,0.911,558.4563046177956,773.081962275521,-12093.707601248621,763.1037839716591
412,2,187,52700.56295252882,0.8244,53731.73706375986,7053.049999999999,12.7,4.13,167.0,0.411,579.0289467091685,868.0935293179676,-5032.633456971882,7464.917845487056
413,2,187,58500.58513792296,295.88000000000216,59711.89387946878,7390.520000000004,12.6,5.13,157.0,0.911,554.0264805491834,896.4300186901002,1940.178410934146,13083.967395628977
414,2,187,49283.74481134508,134.0952,50087.175165226814,7266.950000000001,12.4,5.13,167.0,0.036,746.2509163512211,958.7428808124918,-8455.12083479631,3196.5975708589544
415,2,187,75975.38158778717,5986.516640000001,64360.145842255515,12665.079200000002,13.2,5.13,167.0,0.536,658.4742277501225,964.3634642975301,-30702.967258155753,-31.75375125497027
416,2,187,73143.03732160942,11558.581330333294,66840.37352499586,12599.259999999998,14.0,4.13,177.0,0.786,1192.6359023355888,1115.6115919453928,-30271.357704159265,-11779.717051472318
417,2,187,65594.14553038389,29180.974624867504,58740.50665014115,13637.34731111111,15.4,4.13,187.0,0.0,894.3060402129645,1015.254412988961,-6540.580794406436,16462.004894628164
418,2,187,61137.2860877054,17080.868840444353,58944.14837461065,17286.51799444342,16.1,4.13,187.0,0.661,1178.1450797420557,1115.8052557661476,-13467.09664381345,-24123.3135081453
419,2,187,58097.7409165765,14207.188880533226,56268.19522056058,12053.093497387355,17.7,3.13,187.0,0.661,959.6194451149156,1212.830699969812,-23593.11123577665,-6323.50744446338
420,2,187,59334.95830305575,14563.519380666536,56700.63407388395,9385.572,18.3,4.13,247.0,0.036,1223.3339273443223,1091.6722589182245,-39532.67368022614,9550.466754446263
421,2,187,62116.560359116374,11916.763781508233,58963.56254783283,14473.294488314448,18.2,4.13,267.0,0.286,859.5034889026052,1305.28698312416,-13647.507688389516,19469.61111165998
422,2,187,62289.12590783094,14555.412281333105,65876.50793838088,14920.699235877455,17.9,3.13,247.0,0.286,940.775159095724,1282.1252993463204,-23369.65228968506,-661.9863722386576
423,2,187,67293.99225025589,16235.233202666172,68596.13675873456,6910.398717725973,16.4,3.13,247.0,0.536,963.9714501390343,1053.1241142337656,-29785.24439715818,-13327.521063753034
424,2,187,62483.90893128723,9730.092898447525,58944.75361748406,7457.0461973945685,14.7,3.13,217.0,0.161,877.3192455266883,945.5312397660833,-15485.645198771497,-3158.776599435291
425,2,187,64876.267310189774,3986.6885136015267,63976.95785986214,3877.718198757764,15.3,3.13,247.0,0.911,1180.1519446049647,984.0205683654166,-3924.1085136015267,8654.291247571153
426,2,187,64549.37798754307,5203.846161320621,63653.48790845354,3659.42,14.8,3.13,237.0,0.411,1019.3791586048451,1048.8317650473937,-10825.11712803632,-9323.388082284066
427,2,187,60720.94189386194,5155.830000000001,55229.539019183234,5591.982712100708,14.9,2.13,227.0,0.911,1017.9897950788602,1045.6934205283121,965.0429845686886,-6830.640872502612
428,2,187,52291.85042285466,5221.267599999999,56146.14138745497,7035.350000000001,13.9,2.13,207.0,0.411,1055.6195927004865,1010.0229783972662,-463.2356785355587,-5907.820002425231
429,2,187,44364.302507341825,5468.530659417284,47163.22735079112,5329.197029702972,13.2,3.13,227.0,0.911,1009.1041284205359,945.7949160515365,2189.1442676315855,3134.064406633517
430,2,187,39553.69639535026,5231.5052000000005,43195.42245006499,102.34601617069453,14.3,2.13,217.0,0.911,758.604769071925,959.7614941846309,-1994.169446102209,3314.9791435034494
431,2,187,35564.13661074694,5164.4911999999995,38596.20590787104,67.68891008636103,14.4,2.13,207.0,0.786,869.2909355949547,811.2851060060414,626.2129800608272,4669.284028363094
432,2,187,35758.56882349068,5126.7519999999995,40053.78530275694,75.33922852514705,16.3,0.88,236.0,0.815,840.6723703044818,772.9879671423562,-418.70811236761074,-494.42884539583247
433,2,187,32632.203839820297,293.8567813664616,36106.412076485896,328.45708049006595,16.9,0.0,236.0,0.815,825.9950178270477,934.5438549261991,-5465.415078458354,4761.242275838228
434,2,187,35039.30798375903,5140.751599999999,38916.01845903676,6.097199999999999,17.4,0.88,236.0,0.815,828.982222653978,777.2838124883662,-359.8002922109845,-970.2542905313285
435,2,187,40320.20359341932,5124.58,49562.10367790228,4.6488000000000005,17.3,0.88,236.0,0.815,773.081962275521,749.8640589204887,763.1037839716591,2834.554181868365
436,2,187,52176.78374986478,5078.620000000001,52700.56295252882,0.8244,17.9,0.88,216.0,0.815,868.0935293179676,780.1327886236855,7464.917845487056,7227.318556613414
437,2,187,57471.5632218112,5437.430000000002,58500.58513792296,295.88000000000216,17.7,0.0,216.0,0.815,896.4300186901002,910.2697971480433,13083.967395628977,15912.01838271523
438,2,187,48681.89214365442,6494.500000000001,49283.74481134508,134.0952,17.6,0.88,216.0,0.815,958.7428808124918,1225.49555231768,3196.5975708589544,8436.96138744783
439,2,187,63907.42398420214,10493.712350562013,75975.38158778717,5986.516640000001,18.7,0.88,236.0,0.815,964.3634642975301,1063.7669800536703,-31.75375125497027,5103.984561909559
440,2,187,64024.0662595624,14376.950821598224,73143.03732160942,11558.581330333294,19.4,0.88,236.0,0.815,1115.6115919453928,1203.0516909796656,-11779.717051472318,-6838.796475568873
441,2,187,63928.221513941164,35755.96000000001,65594.14553038389,29180.974624867504,20.2,0.88,276.0,0.815,1015.254412988961,1043.7933658139264,16462.004894628164,-18166.047047595417
442,2,187,55233.95139141183,23741.651759999877,61137.2860877054,17080.868840444353,21.1,0.88,6.0,0.815,1115.8052557661476,1216.936757517073,-24123.3135081453,-21899.169753203754
443,2,187,55649.91132255931,19154.017444463378,58097.7409165765,14207.188880533226,22.7,0.88,6.0,0.815,1212.830699969812,930.4370396748576,-6323.50744446338,-37788.44595910021
444,2,187,61921.995351418125,49984.92,59334.95830305575,14563.519380666536,22.5,0.88,6.0,0.815,1091.6722589182245,938.4310798971825,9550.466754446263,-13366.113985917365
445,2,187,56685.36202778782,33433.19,62116.560359116374,11916.763781508233,22.2,1.88,36.0,0.815,1305.28698312416,996.7358135939397,19469.61111165998,-16468.421530801552
446,2,187,52565.40584563043,23315.676372238486,62289.12590783094,14555.412281333105,21.6,0.88,36.0,0.815,1282.1252993463204,1039.404501592842,-661.9863722386576,-13998.178746342104
447,2,187,56238.0440248199,9645.151343588717,67293.99225025589,16235.233202666172,20.2,0.88,46.0,0.815,1053.1241142337656,877.2319738398189,-13327.521063753034,-11733.910545420315
448,2,187,53679.81495924567,8758.709382596331,62483.90893128723,9730.092898447525,19.9,0.88,56.0,0.815,945.5312397660833,888.6303486950698,-3158.776599435291,1203.0348441561914
449,2,187,61181.74394694057,415.2900000000009,64876.267310189774,3986.6885136015267,19.7,1.88,46.0,0.815,984.0205683654166,820.0747575067255,8654.291247571153,15383.872489995301
450,2,187,60928.32419970411,2739.091613006446,64549.37798754307,5203.846161320621,19.6,0.88,56.0,0.815,1048.8317650473937,941.3715666194977,-9323.388082284066,7494.610843976552
451,2,187,57744.181462297354,22.34182113622179,60720.94189386194,5155.830000000001,19.1,0.88,56.0,0.815,1045.6934205283121,793.1389480017757,-6830.640872502612,6035.787539224992
452,2,187,52669.28552583641,1895.2199785871835,52291.85042285466,5221.267599999999,19.2,2.88,86.0,0.815,1010.0229783972662,775.7124559924644,-5907.820002425231,6460.581308277287
453,2,187,46400.4873371608,13.32000000000001,44364.302507341825,5468.530659417284,17.6,1.88,16.0,0.69,945.7949160515365,595.4638934599285,3134.064406633517,4159.567703751687
454,2,187,46233.24288447056,0.0,39553.69639535026,5231.5052000000005,17.9,0.88,46.0,0.815,959.7614941846309,697.8921908122873,3314.9791435034494,-762.7202401524919
455,2,187,41106.53343720392,0.0,35564.13661074694,5164.4911999999995,16.7,1.88,56.0,0.69,811.2851060060414,646.685608034216,4669.284028363094,278.05606862017885
456,2,187,37401.33028172001,23.58933333333333,35758.56882349068,5126.7519999999995,12.2,2.24,103.0,1.0,772.9879671423562,649.1912780915636,-494.42884539583247,-2451.266797498242
457,2,187,33395.697006967916,295.88000000000216,32632.203839820297,293.8567813664616,11.4,4.24,113.0,0.202,934.5438549261991,654.0993968446486,4761.242275838228,8135.430387454963
458,2,187,32144.507940456922,44.96028994708995,35039.30798375903,5140.751599999999,12.5,3.24,133.0,1.0,777.2838124883662,640.817227762517,-970.2542905313285,-4410.116772981354
459,2,187,38430.73336785301,0.0,40320.20359341932,5124.58,12.1,4.24,123.0,1.0,749.8640589204887,602.8191258683829,2834.554181868365,4856.061575632356
460,2,187,49660.13627498753,0.0,52176.78374986478,5078.620000000001,11.5,3.24,113.0,1.0,780.1327886236855,452.44522253370377,7227.318556613414,-8657.514040736878
461,2,187,55345.59087812019,295.88000000000216,57471.5632218112,5437.430000000002,11.0,5.24,133.0,1.0,910.2697971480433,577.9065287807881,15912.01838271523,-3153.2191556546386
462,2,187,53378.91648928572,171.04999999999998,48681.89214365442,6494.500000000001,10.9,4.24,133.0,1.0,1225.49555231768,605.2458802165555,8436.96138744783,-7988.276395958837
463,2,187,62502.965694569095,932.2421748812003,63907.42398420214,10493.712350562013,10.8,5.24,133.0,1.0,1063.7669800536703,505.20505014700774,5103.984561909559,-13479.59402209437
464,2,187,56125.15252344868,3323.8186921929387,64024.0662595624,14376.950821598224,11.0,4.24,133.0,1.0,1203.0516909796656,682.5157821806191,-6838.796475568873,-18305.912717007795
465,2,187,51887.78375317086,7456.54317180478,63928.221513941164,35755.96000000001,11.5,6.24,123.0,1.0,1043.7933658139264,602.3554817158903,-18166.047047595417,-11280.421183601804
466,2,187,57988.85367199414,8628.248657913797,55233.95139141183,23741.651759999877,12.3,6.24,133.0,1.0,1216.936757517073,561.7600079713316,-21899.169753203754,-8577.220704746776
467,2,187,62216.83164195492,8486.194588632528,55649.91132255931,19154.017444463378,12.8,6.24,133.0,1.0,930.4370396748576,1098.350226545841,-37788.44595910021,-14907.075065542445
468,2,187,60586.99371727632,2680.2874206759043,61921.995351418125,49984.92,13.3,4.24,133.0,0.702,938.4310798971825,461.96729972328865,-13366.113985917365,-12397.799860780331
469,2,187,56395.4375796722,11231.003741439788,56685.36202778782,33433.19,14.1,4.24,113.0,0.327,996.7358135939397,1158.6251541691977,-16468.421530801552,17581.005925488556
470,2,187,59770.55908071459,9638.412383374876,52565.40584563043,23315.676372238486,14.0,4.24,123.0,0.202,1039.404501592842,519.2051813834684,-13998.178746342104,12850.462413990237
471,2,187,63620.265675115246,2156.6362074988797,56238.0440248199,9645.151343588717,13.4,5.24,123.0,0.202,877.2319738398189,517.5017442393139,-11733.910545420315,4967.126921066942
472,2,187,57750.75007407922,1131.43,53679.81495924567,8758.709382596331,12.4,4.24,113.0,0.202,888.6303486950698,496.3590554683624,1203.0348441561914,7629.964586588235
473,2,187,57904.15099605173,334.3552855800623,61181.74394694057,415.2900000000009,12.1,4.24,123.0,0.202,820.0747575067255,674.7042035020077,15383.872489995301,9530.700697907383
474,2,187,58727.700745000286,0.0,60928.32419970411,2739.091613006446,12.2,5.24,133.0,0.202,941.3715666194977,533.0742712860624,7494.610843976552,-4753.6862384587275
475,2,187,55830.94897346682,0.0,57744.181462297354,22.34182113622179,11.9,5.24,133.0,0.827,793.1389480017757,534.5320843684963,6035.787539224992,-4620.819673686928
476,2,187,54585.22582483784,5197.549999999999,52669.28552583641,1895.2199785871835,11.8,4.24,133.0,1.0,775.7124559924644,578.1115288431128,6460.581308277287,-8114.522096977629
477,2,187,46641.46600094255,290.38000000000164,46400.4873371608,13.32000000000001,11.7,5.24,143.0,1.0,595.4638934599285,467.9555017192199,4159.567703751687,-4495.220351022158
478,2,187,42355.146989877314,23.006619902471545,46233.24288447056,0.0,11.8,5.24,143.0,1.0,697.8921908122873,407.26713794798604,-762.7202401524919,-6585.358663819424
479,2,187,38649.10320771029,0.0,41106.53343720392,0.0,11.7,4.24,173.0,1.0,646.685608034216,378.7352780251315,278.05606862017885,-2860.9020938964527
480,2,187,37288.735024741276,45.427220589509666,37401.33028172001,23.58933333333333,7.3,4.52,152.0,0.84,649.1912780915636,297.87066349081925,-2451.266797498242,-6761.916296893301
481,2,187,39983.75644050175,5053.080000000002,33395.697006967916,295.88000000000216,7.0,3.52,142.0,0.84,654.0993968446486,248.4255140626621,8135.430387454963,8733.976715236426
482,2,187,32791.347832464024,56.94729013026013,32144.507940456922,44.96028994708995,6.7,3.52,152.0,0.715,640.817227762517,340.87755605378084,-4410.116772981354,9279.89113540771
483,2,187,40649.137914292005,5060.4400000000005,38430.73336785301,0.0,6.7,2.52,122.0,0.84,602.8191258683829,392.2989878640612,4856.061575632356,5206.945025607645
484,2,187,50342.069968104355,48.7156608136728,49660.13627498753,0.0,6.0,2.52,122.0,0.84,452.44522253370377,330.5005282618808,-8657.514040736878,-9840.310096858026
485,2,187,55530.327965541146,5385.418614441972,55345.59087812019,295.88000000000216,5.3,2.52,122.0,0.84,577.9065287807881,351.5866548001395,-3153.2191556546386,-9650.247216750693
486,2,187,50691.15274306251,5327.19887291032,53378.91648928572,171.04999999999998,5.2,3.52,112.0,0.0,605.2458802165555,310.52631643358865,-7988.276395958837,-6955.518096891318
487,2,187,68782.76820618664,6525.941554347085,62502.965694569095,932.2421748812003,6.1,5.52,142.0,0.715,505.20505014700774,408.68591549196043,-13479.59402209437,-16694.571503923136
488,2,187,68379.27640429216,13956.907440450632,56125.15252344868,3323.8186921929387,7.3,5.52,162.0,0.84,682.5157821806191,378.50273864292535,-18305.912717007795,-9047.535777092373
489,2,187,66104.63402182123,10905.7088378675,51887.78375317086,7456.54317180478,7.4,5.52,142.0,0.84,602.3554817158903,333.807735205834,-11280.421183601804,-9833.467058061657
490,2,187,59690.97766842114,11370.94457487697,57988.85367199414,8628.248657913797,8.8,5.52,142.0,0.0,561.7600079713316,387.7241534293007,-8577.220704746776,9421.186564115818
491,2,187,56836.205498131356,17554.036214869222,62216.83164195492,8486.194588632528,9.8,5.52,152.0,0.0,1098.350226545841,364.78755249092495,-14907.075065542445,18693.243186185464
492,2,187,58300.22898639615,31182.97980506314,60586.99371727632,2680.2874206759043,10.1,3.52,162.0,0.84,461.96729972328865,462.32515716237526,-12397.799860780331,-22085.737777763687
493,2,187,58871.40378662302,37600.1,56395.4375796722,11231.003741439788,9.8,4.52,162.0,0.84,1158.6251541691977,345.93969894316024,17581.005925488556,-10925.800018947672
494,2,187,62680.69884565534,33514.6,59770.55908071459,9638.412383374876,9.9,4.52,172.0,0.84,519.2051813834684,401.58868974258763,12850.462413990237,-13082.79000122696
495,2,187,61269.809696955934,19493.28,63620.265675115246,2156.6362074988797,9.7,3.52,182.0,0.84,517.5017442393139,456.48227196052164,4967.126921066942,-6473.305139912944
496,2,187,58586.111294435046,16578.760000000002,57750.75007407922,1131.43,9.7,3.52,182.0,0.84,496.3590554683624,306.5849992758577,7629.964586588235,-3221.0172809068727
497,2,187,58446.579386104546,7172.790000000002,57904.15099605173,334.3552855800623,9.7,4.52,182.0,0.84,674.7042035020077,413.2645836427124,9530.700697907383,4600.036036224233
498,2,187,60794.63277953362,5080.923298697617,58727.700745000286,0.0,9.4,4.52,182.0,0.84,533.0742712860624,353.32256277973613,-4753.6862384587275,1354.5645770252668
499,2,187,56541.198350762395,5089.9758681011435,55830.94897346682,0.0,9.3,3.52,202.0,0.84,534.5320843684963,373.63891714394214,-4620.819673686928,2195.207197547199
500,2,187,57161.210453495885,5166.3918131043265,54585.22582483784,5197.549999999999,8.9,2.52,182.0,0.84,578.1115288431128,415.75446968831164,-8114.522096977629,-5024.295359073891
501,2,187,50599.58787021112,5382.073906350032,46641.46600094255,290.38000000000164,9.1,2.52,182.0,0.84,467.9555017192199,482.84978472048056,-4495.220351022158,-4767.828707906425
502,2,187,48845.554691226585,5243.5055537875805,42355.146989877314,23.006619902471545,9.5,3.52,192.0,0.84,407.26713794798604,500.47885012944977,-6585.358663819424,3526.5432916472637
503,2,187,40892.71530302159,5194.311628900843,38649.10320771029,0.0,9.8,2.52,212.0,0.84,378.7352780251315,380.2505312903524,-2860.9020938964527,378.2496405855418
504,2,187,34259.10560783362,5145.330055819764,37288.735024741276,45.427220589509666,9.9,1.78,203.0,1.0,297.87066349081925,408.53377258355243,-6761.916296893301,-2292.948781878844
505,2,187,37253.03990951017,5369.7300000000005,39983.75644050175,5053.080000000002,9.8,1.78,183.0,1.0,248.4255140626621,465.6542488262264,8733.976715236426,603.7022590792694
506,2,187,38166.92343587559,5027.02,32791.347832464024,56.94729013026013,9.4,2.78,183.0,1.0,340.87755605378084,395.45961613191315,9279.89113540771,9133.084773481074
507,2,187,41829.489650218005,0.0,40649.137914292005,5060.4400000000005,9.6,2.78,193.0,1.0,392.2989878640612,478.30215939789616,5206.945025607645,11041.082771268913
508,2,187,56763.40539954531,29.52924428856802,50342.069968104355,48.7156608136728,9.6,2.78,163.0,1.0,330.5005282618808,384.31092414355766,-9840.310096858026,8472.400129012422
509,2,187,62626.99780814783,317.13315568191575,55530.327965541146,5385.418614441972,9.6,3.78,163.0,1.0,351.5866548001395,425.2948307211341,-9650.247216750693,5827.194590962907
510,2,187,51808.8346415369,6949.308960450119,50691.15274306251,5327.19887291032,9.6,2.78,153.0,1.0,310.52631643358865,435.58421976510846,-6955.518096891318,-600.0129246175256
511,2,187,72183.58930087078,10050.245326098535,68782.76820618664,6525.941554347085,9.7,4.78,163.0,1.0,408.68591549196043,616.6899309939844,-16694.571503923136,-10262.34309955167
512,2,187,62416.71358836611,8991.548532019142,68379.27640429216,13956.907440450632,9.6,5.78,163.0,1.0,378.50273864292535,686.2346431240865,-9047.535777092373,-11409.139352793742
513,2,187,59996.97007765837,9911.768338352975,66104.63402182123,10905.7088378675,9.5,5.78,143.0,1.0,333.807735205834,621.0547114412062,-9833.467058061657,-5988.330126357591
514,2,187,60451.97364105133,40074.54,59690.97766842114,11370.94457487697,10.1,6.78,153.0,1.0,387.7241534293007,596.3119457045598,9421.186564115818,-7244.937018495122
515,2,187,51931.23062254699,46346.11,56836.205498131356,17554.036214869222,11.5,6.78,153.0,1.0,364.78755249092495,511.10247807474,18693.243186185464,1773.9986147425234
516,2,187,47731.78879906494,8488.95749515301,58300.22898639615,31182.97980506314,11.6,8.78,153.0,1.0,462.32515716237526,576.3647921551677,-22085.737777763687,8484.455775908778
517,2,187,47321.70294151176,8234.378110607931,58871.40378662302,37600.1,11.4,6.78,153.0,1.0,345.93969894316024,606.9764104061347,-10925.800018947672,7512.184112521596
518,2,187,49996.472088891314,7008.551851247691,62680.69884565534,33514.6,11.4,7.78,163.0,1.0,401.58868974258763,613.0966636536994,-13082.79000122696,771.6805897322411
